0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:33 +0900] "GET /KimYouKyungProj2/MainPage.kosmo HTTP/1.1" 200 10354
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:35 +0900] "GET /KimYouKyungProj2/Nailart/LoginPage.kosmo HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:38 +0900] "GET /KimYouKyungProj2/Nailart/JoinPage.kosmo HTTP/1.1" 200 7004
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:41 +0900] "GET /KimYouKyungProj2/Nailart/MyPage.kosmo HTTP/1.1" 500 1137
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 9655
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 12489
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 2842259
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 2115830
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 1948302
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 444880
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 2015197
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/silver.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 1918575
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 150759
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/mari.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 60772
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 123179
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:39:51 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg;jsessionid=9047E80F9D1610AF2193BAA2E718F9BC HTTP/1.1" 200 52408
